bn:00000001n	noun.location
bn:00000002n	noun.location
bn:00000003n	noun.artifact
bn:00000004n	noun.quantity
bn:00000005n	noun.quantity
bn:00000006n	noun.substance
bn:00000007n	noun.act
bn:00000008n	noun.quantity
bn:00000009n	noun.quantity
bn:00000010n	noun.quantity
bn:00000011n	noun.quantity
bn:00000012n	noun.quantity
bn:00000013n	noun.quantity
bn:00000014n	noun.quantity
bn:00000015n	noun.quantity
bn:00000016n	noun.quantity
bn:00000017n	noun.quantity
bn:00000018n	noun.act
bn:00000019n	noun.time
bn:00000020n	noun.quantity
bn:00000021n	noun.communication
bn:00000022n	noun.quantity
bn:00000023n	noun.quantity
bn:00000024n	noun.quantity
bn:00000025n	noun.quantity
bn:00000026n	noun.time
bn:00000027n	noun.quantity
bn:00000028n	noun.time
bn:00000029n	noun.time
bn:00000030n	noun.group
bn:00000031n	noun.time
bn:00000032n	noun.quantity
bn:00000033n	noun.communication
bn:00000034n	noun.quantity
bn:00000035n	noun.quantity
bn:00000036n	noun.time
bn:00000037n	noun.time
bn:00000038n	noun.time
bn:00000039n	noun.time
bn:00000040n	noun.time
bn:00000041n	noun.group
bn:00000042n	noun.quantity
bn:00000043n	noun.substance
bn:00000044n	noun.time
bn:00000045n	noun.time
bn:00000046n	noun.time
bn:00000047n	noun.time
bn:00000048n	noun.time
bn:00000049n	noun.time
bn:00000050n	noun.time
bn:00000051n	noun.time
bn:00000052n	noun.quantity
bn:00000053n	noun.time
bn:00000054n	noun.time
bn:00000055n	noun.time
bn:00000056n	noun.time
bn:00000057n	noun.time
bn:00000058n	noun.time
bn:00000059n	noun.time
bn:00000060n	noun.time
bn:00000061n	noun.time
bn:00000062n	noun.communication
bn:00000063n	noun.communication
bn:00000064n	noun.communication
bn:00000065n	noun.communication
bn:00000066n	noun.communication
bn:00000067n	noun.communication
bn:00000068n	noun.person
bn:00000069n	noun.person
bn:00000070n	noun.person
bn:00000071n	noun.person
bn:00000072n	noun.person
bn:00000073n	noun.person
bn:00000074n	noun.person
bn:00000075n	noun.quantity
bn:00000076n	noun.act
bn:00000077n	noun.substance
bn:00000078n	noun.substance
bn:00000079n	noun.quantity
bn:00000080n	noun.cognition
bn:00000081n	noun.quantity
bn:00000082n	noun.quantity
bn:00000083n	noun.substance
bn:00000084n	noun.quantity
bn:00000085n	noun.quantity
bn:00000086n	noun.time
bn:00000087n	noun.substance
